Owner,"Organization (O from Issuer Field)","Organizational Unit (OU from Issuer Field)",Common Name or Certificate Name,SHA1 Fingerprint,"Valid From (GMT)","Valid To (GMT)",Modulus,Signature Algorithm,Trust Bits,"EV Policy OID","Approval Bug","Release When First Included",URL to Test Website,Company Website,Certificate Policy (CP),Certification Practice Statement (CPS),Audit,Baseline Requirements Audit,EV Audit,Auditor,Audit Criteria,Audit Statement Date,Comments
VeriSign (owned by Symantec),GeoTrust Inc.,,GeoTrust Primary Certification Authority,32:3C:11:8E:1B:F7:B8:B6:52:54:E2:E2:10:0D:D6:02:90:37:F0:96,11/27/2006,7/16/2036,2048,SHA-1,Websites,1.3.6.1.4.1.14370.1.6,https://bugzilla.mozilla.org/show_bug.cgi?id=407168,"NSS 3.11.10, Firefox 3.0.2",https://ssltest22.bbtest.net/,http://www.geotrust.com/,http://www.geotrust.com/resources/repository/legal,http://www.geotrust.com/resources/repository/legal,https://cert.webtrust.org/SealFile?seal=1567&file=pdf,,https://cert.webtrust.org/SealFile?seal=1567&file=pdf,KPMG,WebTrust,2014.06.18,
VeriSign (owned by Symantec),GeoTrust Inc.,,GeoTrust Universal CA,E6:21:F3:35:43:79:05:9A:4B:68:30:9D:8A:2F:74:22:15:87:EC:79,3/4/2004,3/4/2029,4096,SHA-1,"Websites Email Code",Not EV,https://bugzilla.mozilla.org/show_bug.cgi?id=294916,"NSS 3.11.4, Firefox 2",https://ssltest20.bbtest.net,http://www.geotrust.com/,http://www.geotrust.com/resources/repository/legal,http://www.geotrust.com/resources/repository/legal,https://cert.webtrust.org/SealFile?seal=1567&file=pdf,,,KPMG,WebTrust,2014.06.18,
VeriSign (owned by Symantec),GeoTrust Inc.,,GeoTrust Universal CA 2,37:9A:19:7B:41:85:45:35:0C:A6:03:69:F3:3C:2E:AF:47:4F:20:79,3/4/2004,3/4/2029,4096,SHA-1,"Websites Email Code",Not EV,https://bugzilla.mozilla.org/show_bug.cgi?id=294916,"NSS 3.11.4, Firefox 2",https://ssltest34.bbtest.net,http://www.geotrust.com/,http://www.geotrust.com/resources/repository/legal,http://www.geotrust.com/resources/repository/legal,https://cert.webtrust.org/SealFile?seal=1567&file=pdf,,,KPMG,WebTrust,2014.06.18,
GlobalSign,GlobalSign,GlobalSign Root CA - R2,GlobalSign,75:E0:AB:B6:13:85:12:27:1C:04:F8:5F:DD:DE:38:E4:B7:24:2E:FE,12/15/2006,12/15/2021,2048,SHA-1,"Websites Email Code",1.3.6.1.4.1.4146.1.1,https://bugzilla.mozilla.org/show_bug.cgi?id=367245,"NSS 3.11.8, Firefox 2",https://2021.globalsign.com/,http://www.globalsign.com/,https://www.globalsign.com/repository,https://www.globalsign.com/repository,https://cert.webtrust.org/SealFile?seal=1690&file=pdf,https://cert.webtrust.org/SealFile?seal=1688&file=pdf,https://cert.webtrust.org/SealFile?seal=1691&file=pdf,Ernst & Young,WebTrust,2014.06.11,
GlobalSign,GlobalSign,GlobalSign Root CA - R3,GlobalSign,D6:9B:56:11:48:F0:1C:77:C5:45:78:C1:09:26:DF:5B:85:69:76:AD,3/18/2009,3/18/2029,2048,SHA-256,"Websites Email Code",1.3.6.1.4.1.4146.1.1,https://bugzilla.mozilla.org/show_bug.cgi?id=507360,"NSS 3.12.8, Firefox 3.6.12",https://2029.globalsign.com/,http://www.globalsign.com/,https://www.globalsign.com/repository,https://www.globalsign.com/repository,https://cert.webtrust.org/SealFile?seal=1690&file=pdf,https://cert.webtrust.org/SealFile?seal=1688&file=pdf,https://cert.webtrust.org/SealFile?seal=1691&file=pdf,Ernst & Young,WebTrust,2014.06.11,
GlobalSign,GlobalSign nv-sa,Root CA,GlobalSign Root CA,B1:BC:96:8B:D4:F4:9D:62:2A:A8:9A:81:F2:15:01:52:A4:1D:82:9C,9/1/1998,1/28/2028,2048,SHA-1,"Websites Email Code",1.3.6.1.4.1.4146.1.1,https://bugzilla.mozilla.org/show_bug.cgi?id=406794,"NSS 3.11.10, Firefox 3.0.2",https://2028.globalsign.com/,http://www.globalsign.com/,https://www.globalsign.com/repository,https://www.globalsign.com/repository,https://cert.webtrust.org/SealFile?seal=1690&file=pdf,https://cert.webtrust.org/SealFile?seal=1688&file=pdf,https://cert.webtrust.org/SealFile?seal=1691&file=pdf,Ernst & Young,WebTrust,2014.06.11,
GoDaddy,"GoDaddy.com, Inc.",,Go Daddy Root Certificate Authority - G2,47:BE:AB:C9:22:EA:E8:0E:78:78:34:62:A7:9F:45:C2:54:FD:E6:8B,9/1/2009,12/31/2037,2048,SHA-256,"Websites Code",2.16.840.1.114413.1.7.23.3,https://bugzilla.mozilla.org/show_bug.cgi?id=527056,"NSS 3.12.10, Firefox 6.0",https://valid.gdig2.catest.godaddy.com/,http://www.godaddy.com/,https://certs.godaddy.com/anonymous/repository.pki,https://certs.godaddy.com/anonymous/repository.pki,https://cert.webtrust.org/SealFile?seal=1568&file=pdf,https://cert.webtrust.org/SealFile?seal=1568&file=pdf,https://cert.webtrust.org/SealFile?seal=1568&file=pdf,KPMG,WebTrust,2014.08.14,
"Government of Taiwan, Government Root Certification Authority (GRCA)",Government Root Certification Authority,,Taiwan GRCA,F4:8B:11:BF:DE:AB:BE:94:54:20:71:E6:41:DE:6B:BE:88:2B:40:B9,12/5/2002,12/5/2032,4096,SHA-1,"Websites Email Code",Not EV,https://bugzilla.mozilla.org/show_bug.cgi?id=274106,"NSS 3.11.4, Firefox 2",https://www.cp.gov.tw/portal/Clogin.aspx?ReturnHost=www.gov.tw&ReturnUrl=%2fdefault.aspx,http://grca.nat.gov.tw/01-01.html,http://grca.nat.gov.tw/download/gpki_CP_v1.7.pdf,http://grca.nat.gov.tw/download/GRCA_CPS_v1.3.pdf,https://cert.webtrust.org/SealFile?seal=1663&file=pdf,,,KPMG,WebTrust,2014.04.23,
Verizon Business,GTE Corporation,"GTE CyberTrust Solutions, Inc.",GTE CyberTrust Global Root,97:81:79:50:D8:1C:96:70:CC:34:D8:09:CF:79:44:31:36:7E:F4:74,8/13/1998,8/13/2018,1024,MD5,"Websites Email Code",Not EV,https://bugzilla.mozilla.org/show_bug.cgi?id=430694,Firefox 1,https://secure.omniroot.com,http://www.verizon.com/ssl,http://cybertrust.omniroot.com/repository,http://cybertrust.omniroot.com/repository,https://cert.webtrust.org/SealFile?seal=1637&file=pdf,,,Ernst & Young,WebTrust,2013.11.29,"This 1024-bit root is being removed in Firefox 29.
https://bugzilla.mozilla.org/show_bug.cgi?id=936304"
HARICA,Hellenic Academic and Research Institutions Cert. Authority,,Hellenic Academic and Research Institutions RootCA 2011,FE:45:65:9B:79:03:5B:98:A1:61:B5:51:2E:AC:DA:58:09:48:22:4D,12/6/2011,12/1/2031,2048,SHA-1,"Websites Email Code",Not EV,https://bugzilla.mozilla.org/show_bug.cgi?id=581901,"NSS 3.13.2, Firefox 11",https://www.harica.gr,http://www.harica.gr/,http://www.harica.gr/procedures.php,http://www.harica.gr/documents/CPS-EN.pdf,http://www.my-audit.gr/audit/reports/Harica-ETSI_TS_102_042.pdf,http://www.my-audit.gr/audit/reports/Harica_BR1.1.5_2013.12.01.v1_Final.pdf,,Deventum,ETSI TS 102 042,2013.10.20,
"Government of Hong Kong (SAR), Hongkong Post, Certizen",Hongkong Post,,Hongkong Post Root CA 1,D6:DA:A8:20:8D:09:D2:15:4D:24:B5:2F:CB:34:6E:B2:58:B2:8A:58,5/15/2003,5/15/2023,2048,SHA-1,Websites,Not EV,https://bugzilla.mozilla.org/show_bug.cgi?id=408949,"NSS 3.12.6, Firefox 3.6.2",https://www.hongkongpost.gov.hk/,http://www.hongkongpost.gov.hk/index.html,http://www.hongkongpost.gov.hk/product/cps/ecert,http://www.hongkongpost.gov.hk/product/cps/ecert/,https://cert.webtrust.org/SealFile?seal=1655&file=pdf,,,Ernst & Young,WebTrust,2014.02.28,
Izenpe S.A.,IZENPE S.A.,,Izenpe.com,2F:78:3D:25:52:18:A7:4A:65:39:71:B5:2C:A2:9C:45:15:6F:E9:19,12/13/2007,12/13/2037,4096,SHA-256,"Websites Code","1.3.6.1.4.1.14777.6.1.1, 1.3.6.1.4.1.14777.6.1.2",https://bugzilla.mozilla.org/show_bug.cgi?id=361957,"NSS 3.12.9, Firefox 4.0","https://servicios.izenpe.com/
https://lra.izenpe.com",http://www.izenpe.com,http://www.izenpe.com/cps,http://www.izenpe.com/cps,https://www.tuvit.de/en/certification-overview-1265_trusted-site-etsi-certificates-1334_ENX_HTML.htm,,https://www.tuvit.de/en/certification-overview-1265_trusted-site-etsi-certificates-1334_ENX_HTML.htm,TUVIT,ETSI TS 101 456,2013.07.31,
Cybertrust Japan / JCSI,"Japan Certification Services, Inc.",,SecureSign RootCA11,3B:C4:9F:48:F8:F3:73:A0:9C:1E:BD:F8:5B:B1:C3:65:C7:D8:11:B3,4/8/2009,4/8/2029,2048,SHA-1,Websites,Not EV,https://bugzilla.mozilla.org/show_bug.cgi?id=496863,"NSS 3.12.6, Firefox 3.6.2",,https://www.cybertrust.ne.jp/,https://www.cybertrust.ne.jp/jcsi/repository.html,https://www.cybertrust.ne.jp/jcsi/CPS_JCSIRoot_Ver1.0_EN.pdf,https://bugzilla.mozilla.org/attachment.cgi?id=8471700,,,KPMG,WebTrust,2014.07.31,
"Government of Japan, Ministry of Internal Affairs and Communications",Japanese Government,ApplicationCA,ApplicationCA - Japanese Government,7F:8A:B0:CF:D0:51:87:6A:66:F3:36:0F:47:C8:8D:8C:D3:35:FC:74,12/12/2007,12/12/2017,2048,SHA-1,"Websites Code",Not EV,https://bugzilla.mozilla.org/show_bug.cgi?id=474706,"NSS 3.12.5, Firefox 3.6",https://www.gpki.go.jp/apca/index.html,http://www.gpki.go.jp/,http://www.gpki.go.jp,https://bugzilla.mozilla.org/attachment.cgi?id=379657,https://cert.webtrust.org/SealFile?seal=1633&file=pdf,,,KPMG,WebTrust,2014.01.24,
Microsec e-Szignó CA,Microsec Ltd.,,Microsec e-Szigno Root CA 2009,89:DF:74:FE:5C:F4:0F:4A:80:F9:E3:37:7D:54:DA:91:E1:01:31:8E,6/16/2009,12/30/2029,2048,SHA-256,"Websites Email Code",Not EV,https://bugzilla.mozilla.org/show_bug.cgi?id=510506,"NSS 3.12.8, Firefox 3.6.12",https://pca.e-szigno.hu/,http://www.e-szigno.hu/?lap=english,http://srv.e-szigno.hu/menu/index.php?lap=english_dokszab,http://www.e-szigno.hu/docs/szsz--hsz--altalanos--v2.0.pdf,http://static.e-szigno.hu/docs/NMHH_supervision_2013.pdf,http://static.e-szigno.hu/docs/NMHH_supervision_2013.pdf,,NMHH,ETSI TS 102 042,2014.01.31,
Microsec e-Szignó CA,Microsec Ltd.,e-Szigno CA,Microsec e-Szigno Root CA,23:88:C9:D3:71:CC:9E:96:3D:FF:7D:3C:A7:CE:FC:D6:25:EC:19:0D,4/6/2005,4/6/2017,2048,SHA-1,"Websites Email Code",Not EV,https://bugzilla.mozilla.org/show_bug.cgi?id=370505,"NSS 3.12.4, Firefox 3.5",https://srv.e-szigno.hu/,http://www.e-szigno.hu/?lap=english,http://srv.e-szigno.hu/menu/index.php?lap=english_dokszab,http://www.e-szigno.hu/docs/szsz--hsz--altalanos--v2.0.pdf,http://static.e-szigno.hu/docs/NMHH_supervision_2013.pdf,http://static.e-szigno.hu/docs/NMHH_supervision_2013.pdf,,NMHH,ETSI TS 102 042,2014.01.31,
NetLock Ltd.,NetLock Halozatbiztonsagi Kft.,Tanusitvanykiadok,NetLock Minositett Kozjegyzoi (Class QA) Tanusitvanykiado,01:68:97:E1:A0:B8:F2:C3:B1:34:66:5C:20:A7:27:B7:A1:58:E2:8F,3/30/2003,12/15/2022,2048,SHA-1,"Email Code",Not EV,https://bugzilla.mozilla.org/show_bug.cgi?id=313942,"NSS 3.11.2, Firefox 2",Websites trust bit not set.,http://www.netlock.hu/USEREN/index.html,http://www.netlock.hu/html/dok.html,http://www.netlock.hu/html/dok.html,http://webold.nhh.hu/esign/setLanguageAction.do?lang=en,,,NMHH,ETSI TS 102 042,2014.06.04,
NetLock Ltd.,NetLock Halozatbiztonsagi Kft.,Tanusitvanykiadok,NetLock Expressz (Class C) Tanusitvanykiado,E3:92:51:2F:0A:CF:F5:05:DF:F6:DE:06:7F:75:37:E1:65:EA:57:4B,2/25/1999,2/20/2019,1024,MD5,Email,Not EV,https://bugzilla.mozilla.org/show_bug.cgi?id=279728,"NSS 3.10, Firefox 1",Websites trust bit turned off in Firefox 32.,http://www.netlock.hu/USEREN/index.html,http://www.netlock.hu/USEREN/html/dok.html,https://bugzilla.mozilla.org/attachment.cgi?id=364923,http://webold.nhh.hu/esign/setLanguageAction.do?lang=en,,,NMHH,ETSI TS 102 042,2014.06.04,"Websites and code signing trust bits for this 1024-bit root are being disabled in Firefox 29.
https://bugzilla.mozilla.org/show_bug.cgi?id=936304"
NetLock Ltd.,NetLock Halozatbiztonsagi Kft.,Tanusitvanykiadok,NetLock Kozjegyzoi (Class A) Tanusitvanykiado,AC:ED:5F:65:53:FD:25:CE:01:5F:1F:7A:48:3B:6A:74:9F:61:78:C6,2/24/1999,2/19/2019,2048,MD5,"Websites Email Code",Not EV,https://bugzilla.mozilla.org/show_bug.cgi?id=279728,"NSS 3.10, Firefox 1","Migrating off of this root, but there are still valid SHA-1, 2048-bit certs. Waiting for them to expire.",http://www.netlock.hu/USEREN/index.html,http://www.netlock.hu/html/dok.html,http://www.netlock.hu/html/dok.html,http://webold.nhh.hu/esign/setLanguageAction.do?lang=en,,,NMHH,ETSI TS 102 042,2014.06.04,
NetLock Ltd.,NetLock Halozatbiztonsagi Kft.,Tanusitvanykiadok,NetLock Uzleti (Class B) Tanusitvanykiado,87:9F:4B:EE:05:DF:98:58:3B:E3:60:D6:33:E7:0D:3F:FE:98:71:AF,2/25/1999,2/20/2019,1024,MD5,Email,Not EV,https://bugzilla.mozilla.org/show_bug.cgi?id=279728,"NSS 3.10, Firefox 1",Websites trust bit turned off in Firefox 32.,http://www.netlock.hu/USEREN/index.html,http://www.netlock.hu/html/dok.html,http://www.netlock.hu/html/dok.html,http://webold.nhh.hu/esign/setLanguageAction.do?lang=en,Websites trust bit turned off in Firefox 32.,,NMHH,ETSI TS 102 042,2014.06.04,Websites trust bit turned off in Firefox 32.
NetLock Ltd.,NetLock Kft.,Tanúsítványkiadók (Certification Services),NetLock Arany (Class Gold) Főtanúsítvány,06:08:3F:59:3F:15:A1:04:A0:69:A4:6B:A9:03:D0:06:B7:97:09:91,12/11/2008,12/6/2028,2048,SHA-256,"Websites Email Code",Not EV,https://bugzilla.mozilla.org/show_bug.cgi?id=480966,"NSS 3.12.6, Firefox 3.6.2",,http://www.netlock.hu/USEREN/index.html,http://www.netlock.hu/USEREN/html/dok.html,https://bugzilla.mozilla.org/attachment.cgi?id=364923,http://webold.nhh.hu/esign/setLanguageAction.do?lang=en,,,NMHH,ETSI TS 102 042,2014.06.04,
Web.com,Network Solutions L.L.C.,,Network Solutions Certificate Authority,74:F8:A3:C3:EF:E7:B3:90:06:4B:83:90:3C:21:64:60:20:E5:DF:CE,12/1/2006,12/31/2029,2048,SHA-1,Websites,1.3.6.1.4.1.782.1.2.1.8.1,https://bugzilla.mozilla.org/show_bug.cgi?id=403915,"NSS 3.11.10, Firefox 3.0.2",https://www.networksolutions.com/,http://www.networksolutions.com/,http://www.networksolutions.com/legal/SSL-legal-repository-cps.jsp,https://www.networksolutions.com/legal/SSL-legal-repository-ev-cps.jsp,https://cert.webtrust.org/SealFile?seal=1630&file=pdf,,https://cert.webtrust.org/SealFile?seal=1631&file=pdf,Ernst & Young,WebTrust,2014.01.15,
"Government of France (ANSSI, DCSSI)",PM/SGDN,DCSSI (new name is ANSSI),IGC/A,60:D6:89:74:B5:C2:65:9E:8A:0F:C1:88:7C:88:D2:46:69:1B:18:2C,12/13/2002,10/17/2020,2048,SHA-1,"Websites Email Code",Not EV,https://bugzilla.mozilla.org/show_bug.cgi?id=368970,"NSS 3.12.4, Firefox 3.5",https://e-formation.institut.minefi.gouv.fr/Login.asp,http://www.ssi.gouv.fr,http://www.ssi.gouv.fr/IMG/pdf/igca-pc-v2.pdf,http://www.ssi.gouv.fr/site_article15.html,http://www.ssi.gouv.fr/fr/anssi/services-securises/igc-a/attestation-audits.html,http://www.ssi.gouv.fr/fr/anssi/services-securises/igc-a/attestation-audits.html,,French Government,ETSI TS 102 042,2013.11.15,
QuoVadis,QuoVadis Limited,Root Certification Authority,QuoVadis Root Certification Authority,DE:3F:40:BD:50:93:D3:9B:6C:60:F6:DA:BC:07:62:01:00:89:76:C9,3/19/2001,3/17/2021,2048,SHA-1,"Websites Email Code",Not EV,https://bugzilla.mozilla.org/show_bug.cgi?id=238381,"NSS 3.9.6, Firefox 1",https://qvsslrca-v.quovadisglobal.com,http://www.quovadisglobal.com,https://www.quovadisglobal.com/QVRepository.aspx,https://www.quovadisglobal.com/QVRepository.aspx,https://cert.webtrust.org/SealFile?seal=1678&file=pdf,https://cert.webtrust.org/SealFile?seal=1679&file=pdf,,Ernst & Young,WebTrust,2014.05.16,
QuoVadis,QuoVadis Limited,,QuoVadis Root CA 2,CA:3A:FB:CF:12:40:36:4B:44:B2:16:20:88:80:48:39:19:93:7C:F7,11/24/2006,11/24/2031,4096,SHA-1,"Websites Email Code",1.3.6.1.4.1.8024.0.2.100.1.2,https://bugzilla.mozilla.org/show_bug.cgi?id=365281,"NSS 3.11.8, Firefox 2",https://evsslrca2-v.quovadisglobal.com,http://www.quovadisglobal.com,https://www.quovadisglobal.com/QVRepository.aspx,https://www.quovadisglobal.com/QVRepository.aspx,https://cert.webtrust.org/SealFile?seal=1678&file=pdf,https://cert.webtrust.org/SealFile?seal=1679&file=pdf,https://cert.webtrust.org/SealFile?seal=1680&file=pdf,Ernst & Young,WebTrust,2014.05.16,
QuoVadis,QuoVadis Limited,,QuoVadis Root CA 3,1F:49:14:F7:D8:74:95:1D:DD:AE:02:C0:BE:FD:3A:2D:82:75:51:85,11/24/2006,11/24/2031,4096,SHA-1,"Websites Email Code",Not EV,https://bugzilla.mozilla.org/show_bug.cgi?id=365281,"NSS 3.11.8, Firefox 2",https://qvsslrca3-v.quovadisglobal.com,http://www.quovadisglobal.com,https://www.quovadisglobal.com/QVRepository.aspx,https://www.quovadisglobal.com/QVRepository.aspx,https://cert.webtrust.org/SealFile?seal=1678&file=pdf,https://cert.webtrust.org/SealFile?seal=1679&file=pdf,,Ernst & Young,WebTrust,2014.05.16,
QuoVadis,QuoVadis Limited,,QuoVadis Root CA 1 G3,1B:8E:EA:57:96:29:1A:C9:39:EA:B8:0A:81:1A:73:73:C0:93:79:67,1/12/2012,1/12/2042,4096,SHA-256,"Websites Email Code",Not EV,https://bugzilla.mozilla.org/show_bug.cgi?id=926541,"NSS 3.16.3, Firefox 32",http://trust.quovadisglobal.com/qvrca1g3.crt,http://www.quovadisglobal.com,https://www.quovadisglobal.com/QVRepository.aspx,https://www.quovadisglobal.com/QVRepository.aspx,https://cert.webtrust.org/SealFile?seal=1678&file=pdf,https://cert.webtrust.org/SealFile?seal=1679&file=pdf,,Ernst & Young,WebTrust,2014.05.16,
QuoVadis,QuoVadis Limited,,QuoVadis Root CA 2 G3,09:3C:61:F3:8B:8B:DC:7D:55:DF:75:38:02:05:00:E1:25:F5:C8:36,1/12/2012,1/12/2042,4096,SHA-256,"Websites Code",1.3.6.1.4.1.8024.0.2.100.1.2,https://bugzilla.mozilla.org/show_bug.cgi?id=926541,"NSS 3.16.3, Firefox 32",http://trust.quovadisglobal.com/qvrca2g3.crt,http://www.quovadisglobal.com,https://www.quovadisglobal.com/QVRepository.aspx,https://www.quovadisglobal.com/QVRepository.aspx,https://cert.webtrust.org/SealFile?seal=1678&file=pdf,https://cert.webtrust.org/SealFile?seal=1679&file=pdf,https://cert.webtrust.org/SealFile?seal=1680&file=pdf,Ernst & Young,WebTrust,2014.05.16,
QuoVadis,QuoVadis Limited,,QuoVadis Root CA 3 G3,48:12:BD:92:3C:A8:C4:39:06:E7:30:6D:27:96:E6:A4:CF:22:2E:7D,1/12/2012,1/12/2042,4096,SHA-256,"Websites Email Code",Not EV,https://bugzilla.mozilla.org/show_bug.cgi?id=926541,"NSS 3.16.3, Firefox 32",http://trust.quovadisglobal.com/qvrca3g3.crt,http://www.quovadisglobal.com,https://www.quovadisglobal.com/QVRepository.aspx,https://www.quovadisglobal.com/QVRepository.aspx,https://cert.webtrust.org/SealFile?seal=1678&file=pdf,https://cert.webtrust.org/SealFile?seal=1679&file=pdf,,Ernst & Young,WebTrust,2014.05.16,
RSA the Security Division of EMC,RSA Security Inc,RSA Security 2048 V3,RSA Security 2048 v3,25:01:90:19:CF:FB:D9:99:1C:B7:68:25:74:8D:94:5F:30:93:95:42,2/22/2001,2/22/2026,2048,SHA-1,"Websites Email Code",Not EV,legacy,Firefox 1,https://knowledge.rsasecurity.com,http://www.emc.com,http://www.emc.com/collateral/technical-documentation/rsa-root-signing-service-certificate-policy.pdf,http://www.emc.com/collateral/technical-documentation/rsa-root-signing-service-certification-practice-statement.pdf,https://cert.webtrust.org/SealFile?seal=1247&file=pdf,,,Ernst & Young,WebTrust,2011.12.20,
SECOM Trust Systems Co. Ltd.,"SECOM Trust Systems CO.,LTD.",Security Communication RootCA2,Security Communication RootCA2,5F:3B:8C:F2:F8:10:B3:7D:78:B4:CE:EC:19:19:C3:73:34:B9:C7:74,5/29/2009,5/29/2029,2048,SHA-256,"Websites Email Code",Not EV,https://bugzilla.mozilla.org/show_bug.cgi?id=527419,"NSS 3.13.2, Firefox 11",https://scrootca2test.secomtrust.net/,http://www.secomtrust.net/,https://repository.secomtrust.net/SC-Root2/index.html,https://repository.secomtrust.net/SC-Root/SCRootCPS.pdf,https://cert.webtrust.org/SealFile?seal=1717&file=pdf,https://cert.webtrust.org/SealFile?seal=1717&file=pdf,,PricewaterhouseCoopers,WebTrust,2014.07.31,
SECOM Trust Systems Co. Ltd.,"SECOM Trust Systems CO.,LTD.",Security Communication EV RootCA1,Security Communication EV RootCA1,FE:B8:C4:32:DC:F9:76:9A:CE:AE:3D:D8:90:8F:FD:28:86:65:64:7D,6/6/2007,6/6/2037,2048,SHA-1,Websites,1.2.392.200091.100.721.1,https://bugzilla.mozilla.org/show_bug.cgi?id=394419,"NSS 3.12.4, Firefox 3.5",https://repo2.secomtrust.net/ev.gif,http://www.secomtrust.net/,https://repository.secomtrust.net/EV-Root1/index.html,https://repository.secomtrust.net/EV-Root1/index.html,https://cert.webtrust.org/SealFile?seal=1717&file=pdf,https://cert.webtrust.org/SealFile?seal=1717&file=pdf,https://cert.webtrust.org/SealFile?seal=1717&file=pdf,PricewaterhouseCoopers,WebTrust,2014.07.31,
SECOM Trust Systems Co. Ltd.,SECOM Trust.net,Security Communication RootCA1,Security Communication Root CA,36:B1:2B:49:F9:81:9E:D7:4C:9E:BC:38:0F:C6:56:8F:5D:AC:B2:F7,9/30/2003,9/30/2023,2048,SHA-1,"Websites Email Code",Not EV,https://bugzilla.mozilla.org/show_bug.cgi?id=260259,"NSS 3.9.5, Firefox 1",https://testrepository.secomtrust.net/secom/ssl.html,http://www.secomtrust.net/,https://repository.secomtrust.net/SC-Root1/index.html,https://repository.secomtrust.net/SC-Root1/index.html,https://cert.webtrust.org/SealFile?seal=1717&file=pdf,https://cert.webtrust.org/SealFile?seal=1717&file=pdf,,PricewaterhouseCoopers,WebTrust,2014.07.31,
Trustwave,SecureTrust Corporation,,Secure Global CA,3A:44:73:5A:E5:81:90:1F:24:86:61:46:1E:3B:9C:C4:5F:F5:3A:1B,11/7/2006,12/31/2029,2048,SHA-1,"Websites Email Code",2.16.840.1.114404.1.1.2.4.1,https://bugzilla.mozilla.org/show_bug.cgi?id=409838,"NSS 3.11.10, Firefox 3.0.2",https://sgcatest.trustwave.com,http://www.trustwave.com/,https://ssl.trustwave.com/CA/,https://ssl.trustwave.com/CA/,https://cert.webtrust.org/SealFile?seal=1603&file=pdf,https://cert.webtrust.org/SealFile?seal=1602&file=pdf,https://cert.webtrust.org/SealFile?seal=1604&file=pdf,Boysen & Miller,WebTrust,2013.11.22,
Trustwave,SecureTrust Corporation,,SecureTrust CA,87:82:C6:C3:04:35:3B:CF:D2:96:92:D2:59:3E:7D:44:D9:34:FF:11,11/7/2006,12/31/2029,2048,SHA-1,"Websites Code",2.16.840.1.114404.1.1.2.4.1,https://bugzilla.mozilla.org/show_bug.cgi?id=409837,"NSS 3.11.10, Firefox 3.0.2",https://stcatest.trustwave.com,http://www.trustwave.com/,https://ssl.trustwave.com/CA/,https://ssl.trustwave.com/CA/,https://cert.webtrust.org/SealFile?seal=1603&file=pdf,https://cert.webtrust.org/SealFile?seal=1602&file=pdf,https://cert.webtrust.org/SealFile?seal=1604&file=pdf,Boysen & Miller,WebTrust,2013.11.22,
SG Trust Services,SG TRUST SERVICES,0002 43525289500022,SG TRUST SERVICES RACINE,0C:62:8F:5C:55:70:B1:C9:57:FA:FD:38:3F:B0:3D:7B:7D:D7:B9:C6,9/6/2010,9/5/2030,4096,SHA-256,Email,Not EV,https://bugzilla.mozilla.org/show_bug.cgi?id=662259,"NSS 3.15.4, Firefox 27",Websites trust bit not set.,http://www.sgtrustservices.com/en/index.htm,http://www.sgtrustservices.com/home/web/guest/politiquecertifrgs2,http://www.sgtrustservices.com/home/web/guest/politiquecertifrgs2,https://bug662259.bugzilla.mozilla.org/attachment.cgi?id=8429416,Websites trust bit not set.,,LSTI,ETSI TS 102 042,2013.10.11,
PROCERT,Sistema Nacional de Certificacion Electronica,Superintendencia de Servicios de Certificacion Electronica,PSCProcert,70:C1:8D:74:B4:28:81:0A:E4:FD:A5:75:D7:01:9F:99:B0:3D:50:74,12/28/2010,12/25/2020,4096,SHA-256,"Websites Email Code",Not EV,https://bugzilla.mozilla.org/show_bug.cgi?id=593805,"NSS 3.15, Firefox 23",https://mail.procert.net.ve/exchange,https://www.procert.net.ve/eng/index.asp,https://www.procert.net.ve/eng/declaration.asp,https://www.procert.net.ve/eng/declaration.asp,https://bugzilla.mozilla.org/attachment.cgi?id=8505016,,,"SUSCERTE Registered Auditor",ETSI TS 102 042,2014.06.20,
Certicámara S.A.,Sociedad Cameral de Certificación Digital - Certicámara S.A.,,AC Raíz Certicámara S.A.,CB:A1:C5:F8:B0:E3:5E:B8:B9:45:12:D3:F9:34:A2:E9:06:10:D3:36,11/27/2006,4/2/2030,4096,SHA-1,"Email Code",Not EV,https://bugzilla.mozilla.org/show_bug.cgi?id=401262,"NSS 3.12.4, Firefox 3.5",Websites trust bit turned off in Firefox 32.,http://www.certicamara.com,http://www.certicamara.com/dpc/,http://www.certicamara.com/dpc/,https://cert.webtrust.org/SealFile?seal=1502&file=pdf,Websites trust bit turned off in Firefox 32.,,Deloitte & Touche,WebTrust,2013.04.24,Websites trust bit turned off in Firefox 32.
TeliaSonera,Sonera,,Sonera Class1 CA,07:47:22:01:99:CE:74:B9:7C:B0:3D:79:B2:64:A2:C8:55:E9:33:FF,4/6/2001,4/6/2021,2048,SHA-1,Email,Not EV,https://bugzilla.mozilla.org/show_bug.cgi?id=258416,"NSS 3.9.6, Firefox 1",Websites trust bit not set.,http://www.teliasonera.com,http://repository.trust.teliasonera.com/CPS/index3.html,http://repository.trust.teliasonera.com/CPS/index3.html,https://cert.webtrust.org/SealFile?seal=1729&file=pdf,Websites trust bit not set.,,Ernst & Young,WebTrust,2014.07.27,
